Línea 2: [Tipo: PALABRA_RESERVADA, Valor: si]
Línea 2: [Tipo: DELIMITADOR, Valor: (]
Línea 2: [Tipo: LIT_ENTERO, Valor: 1]
Línea 2: [Tipo: OP_RELACIONAL, Valor: <]
Línea 2: [Tipo: LIT_ENTERO, Valor: 2]
Línea 2: [Tipo: DELIMITADOR, Valor: )]
Línea 2: [Tipo: DELIMITADOR, Valor: {]
Línea 3: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 3: [Tipo: LIT_CADENA, Valor: 'Si']
Línea 4: [Tipo: DELIMITADOR, Valor: }]
Línea 4: [Tipo: PALABRA_RESERVADA, Valor: sino]
Línea 4: [Tipo: DELIMITADOR, Valor: {]
Línea 5: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 5: [Tipo: LIT_CADENA, Valor: 'No']
Línea 6: [Tipo: DELIMITADOR, Valor: }]
Línea 8: [Tipo: PALABRA_RESERVADA, Valor: si]
Línea 8: [Tipo: DELIMITADOR, Valor: (]
Línea 8: [Tipo: LIT_ENTERO, Valor: 1]
Línea 8: [Tipo: OP_RELACIONAL, Valor: >]
Línea 8: [Tipo: LIT_ENTERO, Valor: 2]
Línea 8: [Tipo: DELIMITADOR, Valor: )]
Línea 8: [Tipo: DELIMITADOR, Valor: {]
Línea 9: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 9: [Tipo: LIT_CADENA, Valor: 'Si']
Línea 10: [Tipo: DELIMITADOR, Valor: }]
Línea 10: [Tipo: PALABRA_RESERVADA, Valor: sino]
Línea 10: [Tipo: DELIMITADOR, Valor: {]
Línea 11: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 11: [Tipo: LIT_CADENA, Valor: 'No']
Línea 12: [Tipo: DELIMITADOR, Valor: }]
