Línea 4: [Tipo: PALABRA_RESERVADA, Valor: entero]
Línea 4: [Tipo: OP_RELACIONAL, Valor: =]
Línea 4: [Tipo: LIT_ENTERO, Valor: 0]
Línea 5: [Tipo: PALABRA_RESERVADA, Valor: flotante]
Línea 5: [Tipo: OP_RELACIONAL, Valor: =]
Línea 5: [Tipo: LIT_FLOTANTE, Valor: 3.14159]
Línea 6: [Tipo: PALABRA_RESERVADA, Valor: cadena]
Línea 6: [Tipo: OP_RELACIONAL, Valor: =]
Línea 6: [Tipo: LIT_CADENA, Valor: 'Iniciando el analizador complejo']
Línea 7: [Tipo: PALABRA_RESERVADA, Valor: comparar]
Línea 7: [Tipo: OP_RELACIONAL, Valor: =]
Línea 7: [Tipo: LIT_ENTERO, Valor: 1]
Línea 9: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 9: [Tipo: DELIMITADOR, Valor: ,]
Línea 12: [Tipo: PALABRA_RESERVADA, Valor: entero]
Línea 12: [Tipo: OP_RELACIONAL, Valor: =]
Línea 12: [Tipo: LIT_ENTERO, Valor: 100]
Línea 13: [Tipo: PALABRA_RESERVADA, Valor: entero]
Línea 13: [Tipo: OP_RELACIONAL, Valor: =]
Línea 13: [Tipo: LIT_ENTERO, Valor: 25]
Línea 14: [Tipo: PALABRA_RESERVADA, Valor: flotante]
Línea 14: [Tipo: OP_RELACIONAL, Valor: =]
Línea 14: [Tipo: LIT_FLOTANTE, Valor: 10.5]
Línea 16: [Tipo: PALABRA_RESERVADA, Valor: flotante]
Línea 16: [Tipo: OP_RELACIONAL, Valor: =]
Línea 16: [Tipo: DELIMITADOR, Valor: (]
Línea 16: [Tipo: OP_ARITMETICO, Valor: *]
Línea 16: [Tipo: DELIMITADOR, Valor: )]
Línea 16: [Tipo: OP_ARITMETICO, Valor: /]
Línea 16: [Tipo: DELIMITADOR, Valor: (]
Línea 16: [Tipo: OP_ARITMETICO, Valor: +]
Línea 16: [Tipo: OP_ARITMETICO, Valor: -]
Línea 16: [Tipo: LIT_ENTERO, Valor: 5]
Línea 16: [Tipo: DELIMITADOR, Valor: )]
Línea 17: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 20: [Tipo: PALABRA_RESERVADA, Valor: si]
Línea 20: [Tipo: DELIMITADOR, Valor: (]
Línea 20: [Tipo: DELIMITADOR, Valor: (]
Línea 20: [Tipo: OP_RELACIONAL, Valor: >]
Línea 20: [Tipo: OP_LOGICO, Valor: &&]
Línea 20: [Tipo: OP_LOGICO, Valor: !]
Línea 20: [Tipo: OP_RELACIONAL, Valor: =]
Línea 20: [Tipo: LIT_ENTERO, Valor: 0]
Línea 20: [Tipo: DELIMITADOR, Valor: )]
Línea 20: [Tipo: OP_LOGICO, Valor: ||]
Línea 20: [Tipo: DELIMITADOR, Valor: (]
Línea 20: [Tipo: OP_RELACIONAL, Valor: <=]
Línea 20: [Tipo: DELIMITADOR, Valor: )]
Línea 20: [Tipo: DELIMITADOR, Valor: )]
Línea 20: [Tipo: DELIMITADOR, Valor: {]
Línea 21: [Tipo: PALABRA_RESERVADA, Valor: cadena]
Línea 21: [Tipo: OP_RELACIONAL, Valor: =]
Línea 21: [Tipo: LIT_CADENA, Valor: 'Condicion primaria es verdadera']
Línea 22: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 25: [Tipo: PALABRA_RESERVADA, Valor: entero]
Línea 25: [Tipo: OP_RELACIONAL, Valor: =]
Línea 25: [Tipo: LIT_ENTERO, Valor: 5]
Línea 26: [Tipo: PALABRA_RESERVADA, Valor: mientras]
Línea 26: [Tipo: DELIMITADOR, Valor: (]
Línea 26: [Tipo: OP_RELACIONAL, Valor: >]
Línea 26: [Tipo: LIT_ENTERO, Valor: 0]
Línea 26: [Tipo: DELIMITADOR, Valor: )]
Línea 26: [Tipo: DELIMITADOR, Valor: {]
Línea 27: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 27: [Tipo: DELIMITADOR, Valor: ,]
Línea 27: [Tipo: LIT_CADENA, Valor: ' iteraciones restantes...']
Línea 28: [Tipo: OP_RELACIONAL, Valor: =]
Línea 28: [Tipo: OP_ARITMETICO, Valor: -]
Línea 28: [Tipo: LIT_ENTERO, Valor: 1]
Línea 30: [Tipo: PALABRA_RESERVADA, Valor: si]
Línea 30: [Tipo: DELIMITADOR, Valor: (]
Línea 30: [Tipo: OP_RELACIONAL, Valor: ==]
Línea 30: [Tipo: LIT_ENTERO, Valor: 2]
Línea 30: [Tipo: DELIMITADOR, Valor: )]
Línea 30: [Tipo: DELIMITADOR, Valor: {]
Línea 31: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 31: [Tipo: LIT_CADENA, Valor: 'Llegamos a la iteracion dos']
Línea 32: [Tipo: DELIMITADOR, Valor: }]
Línea 33: [Tipo: DELIMITADOR, Valor: }]
Línea 35: [Tipo: DELIMITADOR, Valor: }]
Línea 35: [Tipo: PALABRA_RESERVADA, Valor: sino]
Línea 35: [Tipo: DELIMITADOR, Valor: {]
Línea 36: [Tipo: PALABRA_RESERVADA, Valor: cadena]
Línea 36: [Tipo: OP_RELACIONAL, Valor: =]
Línea 36: [Tipo: LIT_CADENA, Valor: 'La condicion primaria fue falsa']
Línea 37: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 40: [Tipo: PALABRA_RESERVADA, Valor: si]
