Línea 2: [Tipo: PALABRA_RESERVADA, Valor: entero]
Línea 2: [Tipo: IDENTIFICADOR, Valor: variable]
Línea 3: [Tipo: PALABRA_RESERVADA, Valor: flotante]
Línea 3: [Tipo: IDENTIFICADOR, Valor: total]
Línea 3: [Tipo: OP_RELACIONAL, Valor: =]
Línea 3: [Tipo: LIT_FLOTANTE, Valor: 10.5]
Línea 3: [Tipo: ERROR, Valor: $]
Línea 4: [Tipo: PALABRA_RESERVADA, Valor: cadena]
Línea 4: [Tipo: IDENTIFICADOR, Valor: texto]
Línea 4: [Tipo: OP_RELACIONAL, Valor: =]
Línea 4: [Tipo: ERROR, Valor: @]
Línea 6: [Tipo: ERROR, Valor: "]
Línea 6: [Tipo: IDENTIFICADOR, Valor: Buenas]
Línea 6: [Tipo: ERROR, Valor: "]
Línea 8: [Tipo: IDENTIFICADOR, Valor: cadenta]
Línea 8: [Tipo: OP_RELACIONAL, Valor: =]
Línea 8: [Tipo: LIT_CADENA, Valor: '°°']
Línea 9: [Tipo: PALABRA_RESERVADA, Valor: cadena]
Línea 9: [Tipo: OP_RELACIONAL, Valor: =]
Línea 9: [Tipo: ERROR, Valor: °]
Línea 9: [Tipo: ERROR, Valor: °]
Línea 11: [Tipo: OP_ARITMETICO, Valor: -]
Línea 11: [Tipo: LIT_ENTERO, Valor: 2]
Línea 11: [Tipo: ERROR, Valor: ^]
Línea 11: [Tipo: LIT_ENTERO, Valor: 3]
