Línea 2: [Tipo: PALABRA_RESERVADA, Valor: entero]
Línea 2: [Tipo: IDENTIFICADOR, Valor: a]
Línea 2: [Tipo: OP_RELACIONAL, Valor: =]
Línea 2: [Tipo: LIT_ENTERO, Valor: 10]
Línea 3: [Tipo: PALABRA_RESERVADA, Valor: flotante]
Línea 3: [Tipo: IDENTIFICADOR, Valor: b]
Línea 3: [Tipo: OP_RELACIONAL, Valor: =]
Línea 3: [Tipo: LIT_FLOTANTE, Valor: 20.5]
Línea 5: [Tipo: PALABRA_RESERVADA, Valor: si]
Línea 5: [Tipo: IDENTIFICADOR, Valor: a]
Línea 5: [Tipo: OP_RELACIONAL, Valor: >=]
Línea 5: [Tipo: IDENTIFICADOR, Valor: b]
Línea 6: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 6: [Tipo: LIT_CADENA, Valor: 'A es mayor o igual']
Línea 7: [Tipo: PALABRA_RESERVADA, Valor: sino]
Línea 8: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 8: [Tipo: LIT_CADENA, Valor: 'B es mayor']
Línea 12: [Tipo: OP_ARITMETICO, Valor: /]
Línea 12: [Tipo: OP_ARITMETICO, Valor: *]
Línea 12: [Tipo: IDENTIFICADOR, Valor: jhkjhk]
Línea 13: [Tipo: IDENTIFICADOR, Valor: jkjhjkh]
Línea 14: [Tipo: IDENTIFICADOR, Valor: khkjhjk]
Línea 16: [Tipo: OP_ARITMETICO, Valor: *]
Línea 16: [Tipo: OP_ARITMETICO, Valor: /]
